trial_id,last_train_loss,last_train_loss2,last_train_loss3,last_train_loss_ave,last_train_f1,last_train_f12,last_train_f13,last_train_f1_ave,last_dev_loss1,last_dev_loss2,last_dev_loss3,last_dev_loss_ave,last_dev_f11,last_dev_f12,last_dev_f13,last_dev_f1_ave,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.embedding_num,config.embedding_onerad_num,config.embedding_threerad_num,config.hidden_num
8dd00_00000,0.005640038,0.004377137,0.004286565,0.004767914,0.966452046,0.966841046,0.965714286,0.966335793,0.00776245,0.00591477,0.009823383,0.007833534,0.955197368,0.955592105,0.954407895,0.955065789,24.1824398,TRUE,,,1,454a5d5d0b224316ba278d852862efe2,2022-03-10_08-54-05,1646902445,24.1824398,25680,LAPTOP-U2GSCB1O,127.0.0.1,24.1824398,0,1,"0_embedding_num=100,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",100,50,50,100
8dd00_00001,0.003562893,0.002349564,0.002250666,0.002721041,0.974647887,0.973239437,0.971763917,0.97321708,0.021805931,0.009669801,0.022961786,0.018145839,0.953684211,0.956381579,0.953355263,0.954473684,25.58376479,TRUE,,,1,fc1dbf95d2a142e5ad11ee388c77ca17,2022-03-10_08-54-35,1646902475,25.58376479,19248,LAPTOP-U2GSCB1O,127.0.0.1,25.58376479,0,1,"1_embedding_num=150,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",150,50,50,100
8dd00_00002,0.002649993,0.001385186,0.003226522,0.002420567,0.977250168,0.975627096,0.975519785,0.97613235,0.001700396,0.000733331,0.002147916,0.001527214,0.953618421,0.954868421,0.956315789,0.954934211,24.84501433,TRUE,,,1,69f9b88bcb6a471ea7323d8e0da6cc12,2022-03-10_08-55-05,1646902505,24.84501433,43620,LAPTOP-U2GSCB1O,127.0.0.1,24.84501433,0,1,"2_embedding_num=200,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",200,50,50,100
8dd00_00003,0.004451454,0.007180342,0.002664596,0.004765464,0.980093897,0.978215962,0.979047619,0.979119159,0.000316686,0.000345758,0.000357719,0.000340054,0.955855263,0.955263158,0.954934211,0.955350877,25.65580964,TRUE,,,1,a564c4c4c1a341e9a6f67b8ae05035b1,2022-03-10_08-55-36,1646902536,25.65580964,38504,LAPTOP-U2GSCB1O,127.0.0.1,25.65580964,0,1,"3_embedding_num=250,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",250,50,50,100
8dd00_00004,0.004890697,0.001801038,0.002021653,0.002904463,0.982682763,0.981073105,0.980040241,0.98126537,0.006976231,0.004786612,0.002326953,0.004696599,0.953815789,0.953815789,0.954342105,0.953991228,25.30961633,TRUE,,,1,0b76d02db61d4311af81552c94cba44a,2022-03-10_08-56-06,1646902566,25.30961633,40216,LAPTOP-U2GSCB1O,127.0.0.1,25.30961633,0,1,"4_embedding_num=300,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",300,50,50,100
8dd00_00005,0.00148619,0.004400732,0.00478488,0.003557268,0.983004695,0.982830315,0.982427901,0.982754304,0.03280912,0.039150961,0.006479064,0.026146381,0.954539474,0.953881579,0.955197368,0.954539474,25.20021367,TRUE,,,1,75d504a4b2cc427ebde40a2ccee374d7,2022-03-10_08-56-36,1646902596,25.20021367,43516,LAPTOP-U2GSCB1O,127.0.0.1,25.20021367,0,1,"5_embedding_num=350,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",350,50,50,100
8dd00_00006,0.001558301,0.001825515,0.001534442,0.001639419,0.984708249,0.982790074,0.982736419,0.983411581,0.010492865,0.010715559,0.003375938,0.008194787,0.955263158,0.955065789,0.954210526,0.954846491,25.40829921,TRUE,,,1,a2f0160f0f2b43628229b3150ba3dfd0,2022-03-10_08-57-06,1646902626,25.40829921,42572,LAPTOP-U2GSCB1O,127.0.0.1,25.40829921,0,1,"6_embedding_num=400,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=100",400,50,50,100
8dd00_00007,0.007193508,0.012279144,0.008439227,0.009303959,0.972608987,0.970878605,0.970328638,0.971272077,0.020272892,0.008879824,0.008829554,0.012660756,0.953157895,0.95375,0.953684211,0.953530702,24.79791498,TRUE,,,1,d3d6927792df4bb7880e10a7404d3f3e,2022-03-10_08-57-36,1646902656,24.79791498,5492,LAPTOP-U2GSCB1O,127.0.0.1,24.79791498,0,1,"7_embedding_num=100,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=150",100,50,50,150
8dd00_00008,0.003837033,0.004268412,0.00162608,0.003243842,0.979315895,0.978403756,0.977236754,0.978318802,0.052444961,0.028135916,0.041280679,0.040620519,0.953026316,0.954671053,0.953552632,0.95375,24.90664411,TRUE,,,1,a6122abc5d4840e7b8de9a0b86bb7083,2022-03-10_08-58-06,1646902686,24.90664411,7844,LAPTOP-U2GSCB1O,127.0.0.1,24.90664411,0,1,"8_embedding_num=150,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=150",150,50,50,150
8dd00_00009,0.002007862,0.008434973,0.004105185,0.00484934,0.982347418,0.98186452,0.980536553,0.98158283,0.066052265,0.054629002,0.046269976,0.055650414,0.955131579,0.954671053,0.956052632,0.955285088,25.24346447,TRUE,,,1,025ab46c5dca44b38e8000d3f8e09ee0,2022-03-10_08-58-37,1646902717,25.24346447,44544,LAPTOP-U2GSCB1O,127.0.0.1,25.24346447,0,1,"9_embedding_num=200,embedding_onerad_num=50,embedding_threerad_num=50,hidden_num=150",200,50,50,150
